temperature,runNumber,timestamp,model,tags,summary,plannerLatencyMs,reviewerLatencyMs,latencyMs,reviewerChanged
0.7,1,2026-08-31T03:07:53.933083+00:00,qwen3:4b,"[""sleep_duration_impact"", ""academic_concentration"", ""university_sleep_studies""]",Clinical trial examines sleep quality's effect on university students' academic performance and cognitive functions.,17344.23,3907.67,21251.9,False
0.7,2,2026-08-31T03:07:59.076164+00:00,qwen3:4b,"[""sleep_duration"", ""academic_performance"", ""student_concentration""]",University students' concentration and memory impacted by sleep duration and quality.,1796.56,3344.67,5141.23,False
0.7,3,2026-08-31T03:08:04.643080+00:00,qwen3:4b,"[""sleep_duration_impact"", ""academic_performance_factors"", ""student_concentration_studies""]",Examines sleep's influence on university students' academic outcomes and cognitive functions.,2041.09,3524.82,5565.91,False
0.7,4,2026-08-31T03:08:09.905670+00:00,qwen3:4b,"[""sleep_duration"", ""academic_performance"", ""cognitive_function""]",University students' concentration and memory impacted by sleep quality and duration.,1841.1,3420.71,5261.81,False
0.7,5,2026-08-31T03:08:15.166404+00:00,qwen3:4b,"[""sleep_duration"", ""academic_performance"", ""student_concentration""]",Clinical trial examines sleep's impact on university students' concentration and academic outcomes.,1844.87,3414.64,5259.51,False
0.7,6,2026-08-31T03:08:20.848305+00:00,qwen3:4b,"[""sleep_duration_impact"", ""academic_performance_factors"", ""student_cognitive_function""]",Clinical trial examines sleep quality and duration effects on university students' academic performance.,1940.9,3739.97,5680.87,False
0.7,7,2026-08-31T03:08:25.328755+00:00,qwen3:4b,"[""sleep_quality"", ""academic_performance"", ""university_studies""]",Exploring sleep's impact on student concentration and academic success through clinical research.,1895.76,2583.58,4479.34,False
0.7,8,2026-08-31T03:08:30.935794+00:00,qwen3:4b,"[""sleep_duration"", ""academic_performance"", ""concentration_metrics""]",Sleep habits impact university students' cognitive functions and academic outcomes.,1547.29,4057.73,5605.01,False
0.7,9,2026-08-31T03:08:36.368460+00:00,qwen3:4b,"[""sleep_quality"", ""academic_performance"", ""university_students""]","Sleep quality impacts university students' concentration, memory, and academic outcomes.",1898.1,3533.68,5431.78,False
0.7,10,2026-08-31T03:08:42.383845+00:00,qwen3:4b,"[""sleep_duration_impact"", ""academic_performance_factors"", ""university_student_concentration""]",This study examines sleep duration and quality's effect on university students' academic performance.,2134.37,3879.6,6013.97,False
0.7,11,2026-08-31T03:08:49.323457+00:00,qwen3:4b,"[""sleep_duration_impact"", ""academic_performance_factors"", ""university_student_concentration""]","Examines sleep's effect on student focus, memory, and grades through clinical trial methods.",2218.77,4719.94,6938.71,False
0.7,12,2026-08-31T03:08:54.811253+00:00,qwen3:4b,"[""sleep_duration"", ""academic_performance"", ""student_concentration""]",Clinical trial examines sleep impact on university students' concentration and academic outcomes.,1917.96,3568.2,5486.16,False
0.7,13,2026-08-31T03:09:00.800887+00:00,qwen3:4b,"[""sleep_duration"", ""academic_performance"", ""concentration_impact""]",Examines sleep quality's effect on university students' academic outcomes and cognitive functions.,2189.41,3799.26,5988.67,False
0.7,14,2026-08-31T03:09:06.271101+00:00,qwen3:4b,"[""sleep_duration"", ""academic_performance"", ""cognitive_function""]",Clinical trial examines sleep quality's impact on university students' concentration and academic success.,1879.87,3588.51,5468.37,False
